project_name,lang,build_command,github_url,clean_rep1,clean_rep2,clean_rep3,clean_rep4,clean_rep5,clean_rep6,clean_rep7,clean_rep8,clean_median,ebpf_rep1,ebpf_rep2,ebpf_rep3,ebpf_rep4,ebpf_rep5,ebpf_rep6,ebpf_rep7,ebpf_rep8,ebpf_median,ratio,delta_sec
kube-burner,go,make build,https://github.com/kube-burner/kube-burner,46.888,47.563,47.062,47.047,46.545,46.979,46.920,47.149,47.013,51.639,51.256,50.667,50.459,50.628,50.192,50.420,50.759,50.648,1.0773,3.635
kube-ovn,go,make build-go,https://github.com/kubeovn/kube-ovn,102.168,102.051,100.182,100.211,101.776,99.697,98.847,99.470,100.197,109.279,109.720,105.952,105.949,109.092,106.276,106.339,106.891,106.615,1.0641,6.419
kube-vip,go,make build,https://github.com/kube-vip/kube-vip,39.889,39.520,39.055,38.934,39.400,39.153,39.303,39.127,39.228,41.685,41.922,41.667,41.528,41.734,41.611,41.489,41.648,41.657,1.0619,2.430
KubeClipper,go,make build,https://github.com/kubeclipper/kubeclipper,54.089,53.434,54.088,53.408,54.039,53.309,54.160,53.773,53.906,57.862,57.755,57.409,57.440,57.793,57.424,57.631,57.358,57.535,1.0673,3.629
kubefleet,go,make build,https://github.com/kubefleet-dev/kubefleet,103.813,102.370,101.275,101.689,102.748,100.836,101.617,103.393,102.029,111.821,112.487,110.608,110.302,110.197,108.794,110.204,110.932,110.455,1.0826,8.426
Kubescape,go,make all,https://github.com/kubescape/kubescape,107.291,105.002,104.663,104.820,104.906,104.186,105.711,105.719,104.954,115.504,118.012,117.180,116.598,118.154,117.933,116.433,117.809,117.495,1.1195,12.540
kubestellar,go,make build,https://github.com/kubestellar/kubestellar,38.789,38.689,38.605,38.106,38.078,38.229,38.508,38.281,38.395,41.114,41.784,41.138,41.721,41.585,41.645,41.468,41.854,41.615,1.0839,3.221
Kubevela,go,make build,https://github.com/kubevela/kubevela,129.292,129.916,130.799,128.399,130.005,128.196,132.805,128.278,129.604,139.229,139.777,139.593,140.941,139.667,139.138,142.305,139.771,139.719,1.0780,10.115
kudo,go,make manager-fast,https://github.com/kudobuilder/kudo,31.860,25.145,25.354,25.105,25.962,24.826,25.176,25.289,25.233,26.006,27.290,26.772,26.854,26.815,26.652,26.231,26.961,26.794,1.0619,1.561
kuma,go,make build,https://github.com/kumahq/kuma,85.551,84.212,84.925,84.487,85.298,84.261,84.828,84.215,84.657,90.683,91.104,90.311,91.345,91.369,92.543,91.107,92.956,91.226,1.0776,6.569
