project_name,lang,build_command,github_url,rep,arm,duration_sec
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,8,ebpf,387.317
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,1,clean,63.447
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,1,ebpf,68.428
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,2,clean,62.293
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,2,ebpf,69.220
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,3,clean,63.276
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,3,ebpf,69.826
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,4,clean,64.473
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,4,ebpf,68.590
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,5,clean,63.454
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,5,ebpf,69.576
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,6,clean,63.108
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,6,ebpf,68.782
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,7,clean,62.967
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,7,ebpf,67.435
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,8,clean,62.901
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,8,ebpf,69.533
cilium,go,make build,https://github.com/cilium/cilium,1,clean,265.726
cilium,go,make build,https://github.com/cilium/cilium,1,ebpf,282.442
cilium,go,make build,https://github.com/cilium/cilium,2,clean,268.218
cilium,go,make build,https://github.com/cilium/cilium,2,ebpf,277.492
cilium,go,make build,https://github.com/cilium/cilium,3,clean,266.788
cilium,go,make build,https://github.com/cilium/cilium,3,ebpf,278.008
cilium,go,make build,https://github.com/cilium/cilium,4,clean,268.007
cilium,go,make build,https://github.com/cilium/cilium,4,ebpf,290.187
cilium,go,make build,https://github.com/cilium/cilium,5,clean,268.550
cilium,go,make build,https://github.com/cilium/cilium,5,ebpf,280.563
cilium,go,make build,https://github.com/cilium/cilium,6,clean,264.357
cilium,go,make build,https://github.com/cilium/cilium,6,ebpf,275.121
cilium,go,make build,https://github.com/cilium/cilium,7,clean,262.197
cilium,go,make build,https://github.com/cilium/cilium,7,ebpf,278.285
cilium,go,make build,https://github.com/cilium/cilium,8,clean,263.754
cilium,go,make build,https://github.com/cilium/cilium,8,ebpf,278.413
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,1,clean,7.873
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,1,ebpf,10.677
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,2,clean,7.019
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,2,ebpf,11.528
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,3,clean,7.311
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,3,ebpf,11.311
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,4,clean,7.092
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,4,ebpf,14.440
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,5,clean,7.264
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,5,ebpf,14.337
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,6,clean,7.020
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,6,ebpf,10.641
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,7,clean,6.905
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,7,ebpf,14.243
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,8,clean,7.070
cloud-custodian,python,make pkg-build-wheel,https://github.com/cloud-custodian/cloud-custodian,8,ebpf,12.449
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,1,clean,85.121
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,1,ebpf,89.679
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,2,clean,81.565
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,2,ebpf,90.904
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,3,clean,81.591
